Bank Ref,Debit,Credit,Value Date,Description,Counterparty
UTR_NOISE_1459,,8138.42,2026-08-17,Miscellaneous deposit 1459,Corp 96
UTR_NOISE_1460,,38766.62,2026-08-14,Miscellaneous deposit 1460,Corp 41
UTR_NOISE_1461,,22604.11,2026-08-16,Miscellaneous deposit 1461,Corp 10
UTR_NOISE_1462,,4318.12,2026-08-13,Miscellaneous deposit 1462,Corp 1
UTR_NOISE_1463,,9322.52,2026-08-14,Miscellaneous deposit 1463,Corp 50
UTR_NOISE_1464,,3820.68,2026-08-15,Miscellaneous deposit 1464,Corp 98
UTR_NOISE_1465,,3727.17,2026-08-15,Miscellaneous deposit 1465,Corp 11
UTR_NOISE_1466,,422.44,2026-08-13,Miscellaneous deposit 1466,Corp 54
UTR_NOISE_1467,,1305.76,2026-08-17,Miscellaneous deposit 1467,Corp 5
UTR_NOISE_1468,,2094.07,2026-08-17,Miscellaneous deposit 1468,Corp 32
UTR_NOISE_1469,,849.87,2026-08-14,Miscellaneous deposit 1469,Corp 37
UTR_NOISE_1470,,1035.70,2026-08-13,Miscellaneous deposit 1470,Corp 92
UTR_NOISE_1471,,8387.02,2026-08-14,Miscellaneous deposit 1471,Corp 82
UTR_NOISE_1472,,1706.49,2026-08-13,Miscellaneous deposit 1472,Corp 82
UTR_NOISE_1473,,700.59,2026-08-13,Miscellaneous deposit 1473,Corp 9
UTR_NOISE_1474,,99382.27,2026-08-13,Miscellaneous deposit 1474,Corp 13
UTR_NOISE_1475,,5504.87,2026-08-15,Miscellaneous deposit 1475,Corp 60
UTR_NOISE_1476,,1189.78,2026-08-14,Miscellaneous deposit 1476,Corp 8
UTR_NOISE_1477,,382.29,2026-08-15,Miscellaneous deposit 1477,Corp 85
UTR_NOISE_1478,,1623.95,2026-08-14,Miscellaneous deposit 1478,Corp 86
UTR_NOISE_1479,,313.47,2026-08-15,Miscellaneous deposit 1479,Corp 77
UTR_NOISE_1480,,1816.75,2026-08-13,Miscellaneous deposit 1480,Corp 91
UTR_NOISE_1481,,8842.53,2026-08-13,Miscellaneous deposit 1481,Corp 46
UTR_NOISE_1482,,9663.90,2026-08-15,Miscellaneous deposit 1482,Corp 36
UTR_NOISE_1483,,8662.51,2026-08-13,Miscellaneous deposit 1483,Corp 79
UTR_NOISE_1484,,8242.08,2026-08-14,Miscellaneous deposit 1484,Corp 27
UTR_NOISE_1485,,237.37,2026-08-14,Miscellaneous deposit 1485,Corp 64
UTR_NOISE_1486,,1796.88,2026-08-15,Miscellaneous deposit 1486,Corp 85
UTR_NOISE_1487,,5426.18,2026-08-17,Miscellaneous deposit 1487,Corp 65
UTR_NOISE_1488,,1555.95,2026-08-16,Miscellaneous deposit 1488,Corp 56
UTR_NOISE_1489,,1193.15,2026-08-13,Miscellaneous deposit 1489,Corp 24
UTR_NOISE_1490,,9594.16,2026-08-16,Miscellaneous deposit 1490,Corp 62
UTR_NOISE_1491,,724.12,2026-08-13,Miscellaneous deposit 1491,Corp 68
UTR_NOISE_1492,,1150.23,2026-08-16,Miscellaneous deposit 1492,Corp 99
UTR_NOISE_1493,,199.39,2026-08-16,Miscellaneous deposit 1493,Corp 70
UTR_NOISE_1494,,8273.78,2026-08-13,Miscellaneous deposit 1494,Corp 81
UTR_NOISE_1495,,1285.94,2026-08-15,Miscellaneous deposit 1495,Corp 80
UTR_NOISE_1496,,14575.65,2026-08-13,Miscellaneous deposit 1496,Corp 45
UTR_NOISE_1497,,1923.48,2026-08-13,Miscellaneous deposit 1497,Corp 46
UTR_NOISE_1498,,1677.02,2026-08-17,Miscellaneous deposit 1498,Corp 26
UTR_NOISE_1499,,86983.36,2026-08-17,Miscellaneous deposit 1499,Corp 39
UTR_NOISE_1500,,7076.46,2026-08-13,Miscellaneous deposit 1500,Corp 91
UTR_NOISE_1501,,3350.44,2026-08-17,Miscellaneous deposit 1501,Corp 55
UTR_NOISE_1502,,1690.73,2026-08-13,Miscellaneous deposit 1502,Corp 54
UTR_NOISE_1503,,44756.76,2026-08-13,Miscellaneous deposit 1503,Corp 86
UTR_NOISE_1504,,1087.47,2026-08-14,Miscellaneous deposit 1504,Corp 91
UTR_NOISE_1505,,48699.62,2026-08-16,Miscellaneous deposit 1505,Corp 80
UTR_NOISE_1506,,549.23,2026-08-13,Miscellaneous deposit 1506,Corp 80
UTR_NOISE_1507,,638.84,2026-08-17,Miscellaneous deposit 1507,Corp 47
UTR_NOISE_1508,,1328.14,2026-08-13,Miscellaneous deposit 1508,Corp 98
UTR_NOISE_1509,,4187.24,2026-08-17,Miscellaneous deposit 1509,Corp 63
UTR_NOISE_1510,,2945.10,2026-08-14,Miscellaneous deposit 1510,Corp 14
UTR_NOISE_1511,,11737.75,2026-08-15,Miscellaneous deposit 1511,Corp 15
UTR_NOISE_1512,,9542.67,2026-08-13,Miscellaneous deposit 1512,Corp 83
UTR_NOISE_1513,,1819.98,2026-08-13,Miscellaneous deposit 1513,Corp 42
UTR_NOISE_1514,,848.66,2026-08-16,Miscellaneous deposit 1514,Corp 89
UTR_NOISE_1515,,1203.83,2026-08-16,Miscellaneous deposit 1515,Corp 46
UTR_NOISE_1516,,2562.83,2026-08-14,Miscellaneous deposit 1516,Corp 72
UTR_NOISE_1517,,7876.78,2026-08-17,Miscellaneous deposit 1517,Corp 78
UTR_NOISE_1518,,443.42,2026-08-16,Miscellaneous deposit 1518,Corp 98
UTR_NOISE_1519,,13263.11,2026-08-13,Miscellaneous deposit 1519,Corp 41
UTR_NOISE_1520,,1990.84,2026-08-15,Miscellaneous deposit 1520,Corp 47
UTR_NOISE_1521,,434.39,2026-08-16,Miscellaneous deposit 1521,Corp 20
UTR_NOISE_1522,,33521.30,2026-08-17,Miscellaneous deposit 1522,Corp 50
UTR_NOISE_1523,,607.94,2026-08-13,Miscellaneous deposit 1523,Corp 29
UTR_NOISE_1524,,1235.51,2026-08-13,Miscellaneous deposit 1524,Corp 4
UTR_NOISE_1525,,681.90,2026-08-17,Miscellaneous deposit 1525,Corp 50
UTR_NOISE_1526,,5588.79,2026-08-14,Miscellaneous deposit 1526,Corp 12
UTR_NOISE_1527,,2545.13,2026-08-17,Miscellaneous deposit 1527,Corp 41
UTR_NOISE_1528,,948.91,2026-08-16,Miscellaneous deposit 1528,Corp 32
UTR_NOISE_1529,,3475.28,2026-08-15,Miscellaneous deposit 1529,Corp 64
UTR_NOISE_1530,,9783.03,2026-08-17,Miscellaneous deposit 1530,Corp 33
UTR_NOISE_1531,,3313.72,2026-08-14,Miscellaneous deposit 1531,Corp 62
UTR_NOISE_1532,,649.37,2026-08-17,Miscellaneous deposit 1532,Corp 66
UTR_NOISE_1533,,1050.12,2026-08-16,Miscellaneous deposit 1533,Corp 18
UTR_NOISE_1534,,1590.46,2026-08-15,Miscellaneous deposit 1534,Corp 85
UTR_NOISE_1535,,6781.53,2026-08-15,Miscellaneous deposit 1535,Corp 33
UTR_NOISE_1536,,1028.03,2026-08-14,Miscellaneous deposit 1536,Corp 11
UTR_NOISE_1537,,996.31,2026-08-13,Miscellaneous deposit 1537,Corp 22
UTR_NOISE_1538,,233.14,2026-08-16,Miscellaneous deposit 1538,Corp 72
UTR_NOISE_1539,,984.69,2026-08-13,Miscellaneous deposit 1539,Corp 19
UTR_NOISE_1540,,3470.13,2026-08-15,Miscellaneous deposit 1540,Corp 42
UTR_NOISE_1541,,7618.72,2026-08-13,Miscellaneous deposit 1541,Corp 49
UTR_NOISE_1542,,1721.06,2026-08-14,Miscellaneous deposit 1542,Corp 98
UTR_NOISE_1543,,744.18,2026-08-17,Miscellaneous deposit 1543,Corp 16
UTR_NOISE_1544,,1046.41,2026-08-15,Miscellaneous deposit 1544,Corp 24
UTR_NOISE_1545,,1574.70,2026-08-15,Miscellaneous deposit 1545,Corp 49
UTR_NOISE_1546,,1363.73,2026-08-15,Miscellaneous deposit 1546,Corp 56
UTR_NOISE_1547,,3771.77,2026-08-14,Miscellaneous deposit 1547,Corp 51
UTR_NOISE_1548,,1364.31,2026-08-17,Miscellaneous deposit 1548,Corp 55
UTR_NOISE_1549,,984.71,2026-08-14,Miscellaneous deposit 1549,Corp 16
UTR_NOISE_1550,,8504.78,2026-08-15,Miscellaneous deposit 1550,Corp 38
UTR_NOISE_1551,,148.41,2026-08-14,Miscellaneous deposit 1551,Corp 41
UTR_NOISE_1552,,918.01,2026-08-14,Miscellaneous deposit 1552,Corp 20
UTR_NOISE_1553,,1203.27,2026-08-14,Miscellaneous deposit 1553,Corp 34
UTR_NOISE_1554,,1289.51,2026-08-16,Miscellaneous deposit 1554,Corp 5
UTR_NOISE_1555,,1671.21,2026-08-14,Miscellaneous deposit 1555,Corp 92
UTR_NOISE_1556,,966.71,2026-08-14,Miscellaneous deposit 1556,Corp 89
UTR_NOISE_1557,,533.99,2026-08-15,Miscellaneous deposit 1557,Corp 53
UTR_NOISE_1558,,4787.89,2026-08-15,Miscellaneous deposit 1558,Corp 22
UTR_NOISE_1559,,896.18,2026-08-13,Miscellaneous deposit 1559,Corp 41
UTR_NOISE_1560,,1375.20,2026-08-17,Miscellaneous deposit 1560,Corp 15
UTR_NOISE_1561,,366.71,2026-08-14,Miscellaneous deposit 1561,Corp 60
UTR_NOISE_1562,,1676.53,2026-08-14,Miscellaneous deposit 1562,Corp 93
UTR_NOISE_1563,,1192.80,2026-08-17,Miscellaneous deposit 1563,Corp 98
UTR_NOISE_1564,,8170.93,2026-08-15,Miscellaneous deposit 1564,Corp 85
UTR_NOISE_1565,,6453.02,2026-08-16,Miscellaneous deposit 1565,Corp 94
UTR_NOISE_1566,,1397.07,2026-08-14,Miscellaneous deposit 1566,Corp 92
UTR_NOISE_1567,,6562.92,2026-08-14,Miscellaneous deposit 1567,Corp 81
UTR_NOISE_1568,,1494.70,2026-08-17,Miscellaneous deposit 1568,Corp 65
UTR_NOISE_1569,,144.13,2026-08-15,Miscellaneous deposit 1569,Corp 67
UTR_NOISE_1570,,1405.32,2026-08-14,Miscellaneous deposit 1570,Corp 3
UTR_NOISE_1571,,2304.26,2026-08-17,Miscellaneous deposit 1571,Corp 20
UTR_NOISE_1572,,1602.77,2026-08-16,Miscellaneous deposit 1572,Corp 86
UTR_NOISE_1573,,7219.07,2026-08-13,Miscellaneous deposit 1573,Corp 19
UTR_NOISE_1574,,8452.21,2026-08-13,Miscellaneous deposit 1574,Corp 8
UTR_NOISE_1575,,6993.81,2026-08-16,Miscellaneous deposit 1575,Corp 39
UTR_NOISE_1576,,43126.88,2026-08-16,Miscellaneous deposit 1576,Corp 1
UTR_NOISE_1577,,891.87,2026-08-13,Miscellaneous deposit 1577,Corp 47
UTR_NOISE_1578,,8293.03,2026-08-15,Miscellaneous deposit 1578,Corp 86
UTR_NOISE_1579,,7427.64,2026-08-13,Miscellaneous deposit 1579,Corp 94
UTR_NOISE_1580,,370.62,2026-08-15,Miscellaneous deposit 1580,Corp 41
UTR_NOISE_1581,,357.40,2026-08-14,Miscellaneous deposit 1581,Corp 94
UTR_NOISE_1582,,6022.62,2026-08-17,Miscellaneous deposit 1582,Corp 13
UTR_NOISE_1583,,6733.05,2026-08-13,Miscellaneous deposit 1583,Corp 17
UTR_NOISE_1584,,5746.48,2026-08-16,Miscellaneous deposit 1584,Corp 90
UTR_NOISE_1585,,8856.51,2026-08-15,Miscellaneous deposit 1585,Corp 62
UTR_NOISE_1586,,1768.74,2026-08-13,Miscellaneous deposit 1586,Corp 45
UTR_NOISE_1587,,1888.62,2026-08-15,Miscellaneous deposit 1587,Corp 27
UTR_NOISE_1588,,1125.58,2026-08-16,Miscellaneous deposit 1588,Corp 58
UTR_NOISE_1589,,1556.52,2026-08-17,Miscellaneous deposit 1589,Corp 33
UTR_NOISE_1590,,300.03,2026-08-16,Miscellaneous deposit 1590,Corp 89
UTR_NOISE_1591,,1904.63,2026-08-15,Miscellaneous deposit 1591,Corp 45
UTR_NOISE_1592,,20148.11,2026-08-16,Miscellaneous deposit 1592,Corp 7
UTR_NOISE_1593,,6022.95,2026-08-13,Miscellaneous deposit 1593,Corp 91
UTR_NOISE_1594,,786.39,2026-08-17,Miscellaneous deposit 1594,Corp 17
UTR_NOISE_1595,,1218.08,2026-08-13,Miscellaneous deposit 1595,Corp 30
UTR_NOISE_1596,,903.44,2026-08-17,Miscellaneous deposit 1596,Corp 62
UTR_NOISE_1597,,1015.58,2026-08-14,Miscellaneous deposit 1597,Corp 74
UTR_NOISE_1598,,813.07,2026-08-16,Miscellaneous deposit 1598,Corp 6
UTR_NOISE_1599,,459.33,2026-08-14,Miscellaneous deposit 1599,Corp 27
UTR_NOISE_1600,,1178.75,2026-08-17,Miscellaneous deposit 1600,Corp 91
UTR_NOISE_1601,,1605.87,2026-08-16,Miscellaneous deposit 1601,Corp 58
UTR_NOISE_1602,,4415.33,2026-08-15,Miscellaneous deposit 1602,Corp 34
UTR_NOISE_1603,,914.05,2026-08-15,Miscellaneous deposit 1603,Corp 32
UTR_NOISE_1604,,866.66,2026-08-15,Miscellaneous deposit 1604,Corp 28
UTR_NOISE_1605,,8461.19,2026-08-13,Miscellaneous deposit 1605,Corp 58
UTR_NOISE_1606,,3273.73,2026-08-15,Miscellaneous deposit 1606,Corp 97
UTR_NOISE_1607,,8313.83,2026-08-17,Miscellaneous deposit 1607,Corp 63
UTR_NOISE_1608,,1682.67,2026-08-14,Miscellaneous deposit 1608,Corp 74
UTR_NOISE_1609,,6659.89,2026-08-17,Miscellaneous deposit 1609,Corp 90
UTR_NOISE_1610,,460.80,2026-08-14,Miscellaneous deposit 1610,Corp 63
UTR_NOISE_1611,,955.32,2026-08-16,Miscellaneous deposit 1611,Corp 100
UTR_NOISE_1612,,1813.93,2026-08-14,Miscellaneous deposit 1612,Corp 32
UTR_NOISE_1613,,5217.24,2026-08-14,Miscellaneous deposit 1613,Corp 60
UTR_NOISE_1614,,1064.71,2026-08-13,Miscellaneous deposit 1614,Corp 2
UTR_NOISE_1615,,443.25,2026-08-16,Miscellaneous deposit 1615,Corp 92
UTR_NOISE_1616,,933.64,2026-08-13,Miscellaneous deposit 1616,Corp 6
UTR_NOISE_1617,,3440.74,2026-08-14,Miscellaneous deposit 1617,Corp 46
UTR_NOISE_1618,,2535.30,2026-08-13,Miscellaneous deposit 1618,Corp 88
UTR_NOISE_1619,,145.08,2026-08-15,Miscellaneous deposit 1619,Corp 21
UTR_NOISE_1620,,965.79,2026-08-15,Miscellaneous deposit 1620,Corp 12
UTR_NOISE_1621,,1892.16,2026-08-14,Miscellaneous deposit 1621,Corp 17
UTR_NOISE_1622,,1867.31,2026-08-15,Miscellaneous deposit 1622,Corp 83
UTR_NOISE_1623,,6294.49,2026-08-17,Miscellaneous deposit 1623,Corp 1
UTR_NOISE_1624,,1250.76,2026-08-13,Miscellaneous deposit 1624,Corp 84
UTR_NOISE_1625,,137.26,2026-08-17,Miscellaneous deposit 1625,Corp 77
UTR_NOISE_1626,,1114.86,2026-08-15,Miscellaneous deposit 1626,Corp 76
UTR_NOISE_1627,,157148.81,2026-08-14,Miscellaneous deposit 1627,Corp 60
UTR_NOISE_1628,,4429.80,2026-08-16,Miscellaneous deposit 1628,Corp 55
UTR_NOISE_1629,,1083.92,2026-08-16,Miscellaneous deposit 1629,Corp 29
UTR_NOISE_1630,,363.34,2026-08-13,Miscellaneous deposit 1630,Corp 84
UTR_NOISE_1631,,1692.08,2026-08-15,Miscellaneous deposit 1631,Corp 30
UTR_NOISE_1632,,973.26,2026-08-17,Miscellaneous deposit 1632,Corp 25
UTR_NOISE_1633,,843.06,2026-08-16,Miscellaneous deposit 1633,Corp 31
UTR_NOISE_1634,,1766.87,2026-08-13,Miscellaneous deposit 1634,Corp 76
UTR_NOISE_1635,,148.46,2026-08-13,Miscellaneous deposit 1635,Corp 49
UTR_NOISE_1636,,1386.73,2026-08-13,Miscellaneous deposit 1636,Corp 19
UTR_NOISE_1637,,6219.76,2026-08-17,Miscellaneous deposit 1637,Corp 16
UTR_NOISE_1638,,1718.76,2026-08-14,Miscellaneous deposit 1638,Corp 82
UTR_NOISE_1639,,1540.22,2026-08-15,Miscellaneous deposit 1639,Corp 99
UTR_NOISE_1640,,30645.80,2026-08-17,Miscellaneous deposit 1640,Corp 71
UTR_NOISE_1641,,2180.25,2026-08-16,Miscellaneous deposit 1641,Corp 2
UTR_NOISE_1642,,6696.14,2026-08-16,Miscellaneous deposit 1642,Corp 13
UTR_NOISE_1643,,5403.21,2026-08-15,Miscellaneous deposit 1643,Corp 57
UTR_NOISE_1644,,1110.32,2026-08-13,Miscellaneous deposit 1644,Corp 5
UTR_NOISE_1645,,846.52,2026-08-14,Miscellaneous deposit 1645,Corp 61
UTR_NOISE_1646,,1496.26,2026-08-13,Miscellaneous deposit 1646,Corp 75
UTR_NOISE_1647,,18196.60,2026-08-17,Miscellaneous deposit 1647,Corp 66
UTR_NOISE_1648,,6731.65,2026-08-14,Miscellaneous deposit 1648,Corp 7
UTR_NOISE_1649,,890.67,2026-08-17,Miscellaneous deposit 1649,Corp 55
UTR_NOISE_1650,,1419.52,2026-08-16,Miscellaneous deposit 1650,Corp 84
UTR_NOISE_1651,,752.43,2026-08-17,Miscellaneous deposit 1651,Corp 54
UTR_NOISE_1652,,7901.73,2026-08-14,Miscellaneous deposit 1652,Corp 3
UTR_NOISE_1653,,43296.59,2026-08-13,Miscellaneous deposit 1653,Corp 27
UTR_NOISE_1654,,303.61,2026-08-15,Miscellaneous deposit 1654,Corp 51
UTR_NOISE_1655,,3260.15,2026-08-16,Miscellaneous deposit 1655,Corp 49
UTR_NOISE_1656,,9381.27,2026-08-13,Miscellaneous deposit 1656,Corp 66
UTR_NOISE_1657,,3515.47,2026-08-16,Miscellaneous deposit 1657,Corp 66
UTR_NOISE_1658,,1362.53,2026-08-14,Miscellaneous deposit 1658,Corp 48
UTR_NOISE_1659,,32432.75,2026-08-14,Miscellaneous deposit 1659,Corp 46
UTR_NOISE_1660,,6274.28,2026-08-15,Miscellaneous deposit 1660,Corp 50
UTR_NOISE_1661,,17912.36,2026-08-17,Miscellaneous deposit 1661,Corp 93
UTR_NOISE_1662,,2001.31,2026-08-16,Miscellaneous deposit 1662,Corp 71
UTR_NOISE_1663,,463.39,2026-08-15,Miscellaneous deposit 1663,Corp 41
UTR_NOISE_1664,,1305.58,2026-08-15,Miscellaneous deposit 1664,Corp 12
UTR_NOISE_1665,,113.51,2026-08-15,Miscellaneous deposit 1665,Corp 96
UTR_NOISE_1666,,20246.25,2026-08-17,Miscellaneous deposit 1666,Corp 36
UTR_NOISE_1667,,479.63,2026-08-17,Miscellaneous deposit 1667,Corp 35
UTR_NOISE_1668,,1053.90,2026-08-14,Miscellaneous deposit 1668,Corp 72
UTR_NOISE_1669,,1336.19,2026-08-17,Miscellaneous deposit 1669,Corp 17
UTR_NOISE_1670,,4915.04,2026-08-16,Miscellaneous deposit 1670,Corp 73
UTR_NOISE_1671,,13787.14,2026-08-17,Miscellaneous deposit 1671,Corp 1
UTR_NOISE_1672,,618.44,2026-08-16,Miscellaneous deposit 1672,Corp 76
UTR_NOISE_1673,,4551.63,2026-08-17,Miscellaneous deposit 1673,Corp 19
UTR_NOISE_1674,,12124.47,2026-08-17,Miscellaneous deposit 1674,Corp 94
UTR_NOISE_1675,,6961.90,2026-08-13,Miscellaneous deposit 1675,Corp 50
UTR_NOISE_1676,,1140.85,2026-08-15,Miscellaneous deposit 1676,Corp 18
UTR_NOISE_1677,,6337.14,2026-08-13,Miscellaneous deposit 1677,Corp 9
UTR_NOISE_1678,,6150.66,2026-08-16,Miscellaneous deposit 1678,Corp 7
UTR_NOISE_1679,,5223.20,2026-08-14,Miscellaneous deposit 1679,Corp 24
UTR_NOISE_1680,,8925.12,2026-08-17,Miscellaneous deposit 1680,Corp 72
UTR_NOISE_1681,,1180.18,2026-08-14,Miscellaneous deposit 1681,Corp 89
UTR_NOISE_1682,,933.05,2026-08-14,Miscellaneous deposit 1682,Corp 93
UTR_NOISE_1683,,1108.96,2026-08-15,Miscellaneous deposit 1683,Corp 32
UTR_NOISE_1684,,37931.11,2026-08-15,Miscellaneous deposit 1684,Corp 24
UTR_NOISE_1685,,7954.66,2026-08-16,Miscellaneous deposit 1685,Corp 51
UTR_NOISE_1686,,1345.27,2026-08-16,Miscellaneous deposit 1686,Corp 14
UTR_NOISE_1687,,650.14,2026-08-17,Miscellaneous deposit 1687,Corp 97
UTR_NOISE_1688,,7169.98,2026-08-17,Miscellaneous deposit 1688,Corp 37
UTR_NOISE_1689,,385.00,2026-08-16,Miscellaneous deposit 1689,Corp 34
UTR_NOISE_1690,,49322.34,2026-08-14,Miscellaneous deposit 1690,Corp 87
UTR_NOISE_1691,,3149.77,2026-08-14,Miscellaneous deposit 1691,Corp 30
UTR_NOISE_1692,,3243.38,2026-08-17,Miscellaneous deposit 1692,Corp 2
UTR_NOISE_1693,,983.90,2026-08-14,Miscellaneous deposit 1693,Corp 84
UTR_NOISE_1694,,1192.26,2026-08-15,Miscellaneous deposit 1694,Corp 64
UTR_NOISE_1695,,1607.98,2026-08-14,Miscellaneous deposit 1695,Corp 22
UTR_NOISE_1696,,121.37,2026-08-16,Miscellaneous deposit 1696,Corp 80
UTR_NOISE_1697,,2383.07,2026-08-16,Miscellaneous deposit 1697,Corp 15
UTR_NOISE_1698,,337.48,2026-08-13,Miscellaneous deposit 1698,Corp 67
UTR_NOISE_1699,,817.48,2026-08-13,Miscellaneous deposit 1699,Corp 11
UTR_NOISE_1700,,7933.94,2026-08-15,Miscellaneous deposit 1700,Corp 66
UTR_NOISE_1701,,49416.71,2026-08-14,Miscellaneous deposit 1701,Corp 59
UTR_NOISE_1702,,5824.90,2026-08-17,Miscellaneous deposit 1702,Corp 55
UTR_NOISE_1703,,538.20,2026-08-14,Miscellaneous deposit 1703,Corp 36
UTR_NOISE_1704,,765.01,2026-08-13,Miscellaneous deposit 1704,Corp 93
UTR_NOISE_1705,,9999.45,2026-08-15,Miscellaneous deposit 1705,Corp 76
UTR_NOISE_1706,,422.61,2026-08-15,Miscellaneous deposit 1706,Corp 84
UTR_NOISE_1707,,996.46,2026-08-17,Miscellaneous deposit 1707,Corp 72
UTR_NOISE_1708,,7925.19,2026-08-15,Miscellaneous deposit 1708,Corp 76
UTR_NOISE_1709,,1289.17,2026-08-17,Miscellaneous deposit 1709,Corp 18
UTR_NOISE_1710,,6333.66,2026-08-16,Miscellaneous deposit 1710,Corp 97
UTR_NOISE_1711,,9255.56,2026-08-13,Miscellaneous deposit 1711,Corp 57
UTR_NOISE_1712,,44781.21,2026-08-13,Miscellaneous deposit 1712,Corp 68
UTR_NOISE_1713,,160.10,2026-08-17,Miscellaneous deposit 1713,Corp 50
UTR_NOISE_1714,,849.26,2026-08-17,Miscellaneous deposit 1714,Corp 55
UTR_NOISE_1715,,4018.66,2026-08-16,Miscellaneous deposit 1715,Corp 39
UTR_NOISE_1716,,1918.99,2026-08-14,Miscellaneous deposit 1716,Corp 13
UTR_NOISE_1717,,192247.85,2026-08-17,Miscellaneous deposit 1717,Corp 54
UTR_NOISE_1718,,7491.54,2026-08-16,Miscellaneous deposit 1718,Corp 45
UTR_NOISE_1719,,1229.22,2026-08-17,Miscellaneous deposit 1719,Corp 20
UTR_NOISE_1720,,3831.83,2026-08-13,Miscellaneous deposit 1720,Corp 74
UTR_NOISE_1721,,44584.83,2026-08-15,Miscellaneous deposit 1721,Corp 39
UTR_NOISE_1722,,1508.55,2026-08-15,Miscellaneous deposit 1722,Corp 16
UTR_NOISE_1723,,39958.62,2026-08-14,Miscellaneous deposit 1723,Corp 17
UTR_NOISE_1724,,696.51,2026-08-14,Miscellaneous deposit 1724,Corp 27
UTR_NOISE_1725,,1574.87,2026-08-14,Miscellaneous deposit 1725,Corp 20
UTR_NOISE_1726,,544.82,2026-08-14,Miscellaneous deposit 1726,Corp 74
UTR_NOISE_1727,,1125.04,2026-08-15,Miscellaneous deposit 1727,Corp 58
UTR_NOISE_1728,,895.18,2026-08-16,Miscellaneous deposit 1728,Corp 83
UTR_NOISE_1729,,1257.82,2026-08-13,Miscellaneous deposit 1729,Corp 13
UTR_NOISE_1730,,5414.26,2026-08-13,Miscellaneous deposit 1730,Corp 32
UTR_NOISE_1731,,395.74,2026-08-15,Miscellaneous deposit 1731,Corp 38
UTR_NOISE_1732,,3237.02,2026-08-16,Miscellaneous deposit 1732,Corp 47
UTR_NOISE_1733,,4070.10,2026-08-15,Miscellaneous deposit 1733,Corp 24
UTR_NOISE_1734,,1306.21,2026-08-14,Miscellaneous deposit 1734,Corp 38
UTR_NOISE_1735,,812.04,2026-08-17,Miscellaneous deposit 1735,Corp 68
UTR_NOISE_1736,,5686.35,2026-08-15,Miscellaneous deposit 1736,Corp 34
UTR_NOISE_1737,,9513.56,2026-08-15,Miscellaneous deposit 1737,Corp 75
UTR_NOISE_1738,,14851.26,2026-08-17,Miscellaneous deposit 1738,Corp 68
UTR_NOISE_1739,,41685.23,2026-08-15,Miscellaneous deposit 1739,Corp 35
UTR_NOISE_1740,,635.10,2026-08-13,Miscellaneous deposit 1740,Corp 62
UTR_NOISE_1741,,43842.75,2026-08-16,Miscellaneous deposit 1741,Corp 25
UTR_NOISE_1742,,5190.72,2026-08-15,Miscellaneous deposit 1742,Corp 31
UTR_NOISE_1743,,352.19,2026-08-16,Miscellaneous deposit 1743,Corp 73
UTR_NOISE_1744,,757.00,2026-08-16,Miscellaneous deposit 1744,Corp 98
UTR_NOISE_1745,,1476.08,2026-08-13,Miscellaneous deposit 1745,Corp 25
UTR_NOISE_1746,,1149.30,2026-08-13,Miscellaneous deposit 1746,Corp 9
UTR_NOISE_1747,,4428.96,2026-08-13,Miscellaneous deposit 1747,Corp 55
UTR_NOISE_1748,,1909.65,2026-08-14,Miscellaneous deposit 1748,Corp 18
UTR_NOISE_1749,,238.95,2026-08-14,Miscellaneous deposit 1749,Corp 15
UTR_NOISE_1750,,37444.82,2026-08-17,Miscellaneous deposit 1750,Corp 100
UTR_NOISE_1751,,602.04,2026-08-14,Miscellaneous deposit 1751,Corp 68
UTR_NOISE_1752,,339.94,2026-08-17,Miscellaneous deposit 1752,Corp 39
UTR_NOISE_1753,,8712.02,2026-08-15,Miscellaneous deposit 1753,Corp 83
UTR_NOISE_1754,,6596.73,2026-08-15,Miscellaneous deposit 1754,Corp 85
UTR_NOISE_1755,,106008.27,2026-08-17,Miscellaneous deposit 1755,Corp 95
UTR_NOISE_1756,,5368.49,2026-08-17,Miscellaneous deposit 1756,Corp 7
UTR_NOISE_1757,,4046.39,2026-08-15,Miscellaneous deposit 1757,Corp 37
UTR_NOISE_1758,,1015.12,2026-08-13,Miscellaneous deposit 1758,Corp 66
UTR_NOISE_1759,,270.97,2026-08-13,Miscellaneous deposit 1759,Corp 77
UTR_NOISE_1760,,7658.02,2026-08-13,Miscellaneous deposit 1760,Corp 93
UTR_NOISE_1761,,1586.37,2026-08-14,Miscellaneous deposit 1761,Corp 23
UTR_NOISE_1762,,1236.39,2026-08-16,Miscellaneous deposit 1762,Corp 39
UTR_NOISE_1763,,7029.18,2026-08-13,Miscellaneous deposit 1763,Corp 78
UTR_NOISE_1764,,216914.86,2026-08-13,Miscellaneous deposit 1764,Corp 66
UTR_NOISE_1765,,587.59,2026-08-13,Miscellaneous deposit 1765,Corp 72
UTR_NOISE_1766,,1611.09,2026-08-15,Miscellaneous deposit 1766,Corp 41
UTR_NOISE_1767,,3709.47,2026-08-14,Miscellaneous deposit 1767,Corp 56
UTR_NOISE_1768,,4334.49,2026-08-14,Miscellaneous deposit 1768,Corp 16
UTR_NOISE_1769,,3913.42,2026-08-15,Miscellaneous deposit 1769,Corp 69
UTR_NOISE_1770,,9088.25,2026-08-14,Miscellaneous deposit 1770,Corp 8
